tool_name,legacy_runtime_s,next_gen_runtime_s,speedup_ratio,speedup_pct,time_savings_s,parity_band
minimal_curvature,2.27,1.67,1.36,26.43,0.6,Green
difference_curvature,2.28,1.68,1.36,26.32,0.6,Green
ring_curvature,2.29,1.69,1.36,26.2,0.6,Green
vertical_excess_curvature,2.3,1.7,1.35,25.93,0.6,Green
horizontal_excess_curvature,2.26,1.68,1.35,25.88,0.58,Green
scharr_filter,2.12,1.59,1.33,24.82,0.53,Green
accumulation_curvature,2.22,1.68,1.33,24.72,0.55,Green
curvedness,2.26,1.7,1.33,24.56,0.55,Green
sobel_filter,2.12,1.6,1.32,24.53,0.52,Green
maximal_curvature,2.24,1.69,1.32,24.38,0.54,Green
aspect,2.31,1.74,1.32,24.3,0.56,Green
fd8_flow_accum,26.98,20.51,1.32,23.98,6.47,Green
qin_flow_accumulation,30.94,23.55,1.31,23.88,7.39,Green
min_max_contrast_stretch,1.86,1.42,1.31,23.66,0.44,Green
prewitt_filter,2.08,1.59,1.31,23.37,0.49,Green
emboss_filter,2.04,1.56,1.3,23.34,0.48,Green
remove_short_streams,9.7,7.45,1.3,23.2,2.25,Green
horton_stream_order,6.5,5.03,1.29,22.62,1.47,Green
relative_aspect,2.46,1.92,1.29,22.31,0.55,Green
lidar_idw_interpolation,11.85,9.22,1.29,22.2,2.63,Green
rotor,2.18,1.7,1.28,22.02,0.48,Green
majority_filter,12.09,9.54,1.27,21.09,2.55,Green
line_detection_filter,2.04,1.61,1.27,21.08,0.43,Green
stream_link_identifier,5.47,4.33,1.26,20.84,1.14,Green
extract_streams,1.57,1.25,1.26,20.38,0.32,Green
tributary_identifier,6.08,4.85,1.25,20.23,1.23,Green
shreve_stream_magnitude,5.69,4.6,1.24,19.16,1.09,Green
mean_filter,5.66,4.58,1.24,19.08,1.08,Green
fill_depressions,19.97,16.26,1.23,18.58,3.71,Green
random_field,1.98,1.64,1.21,17.63,0.35,Green
subbasins,17.1,14.16,1.21,17.19,2.94,Green
percentile_filter,5.0,4.16,1.2,16.8,0.84,Green
olympic_filter,3.74,3.12,1.2,16.71,0.62,Green
improved_ground_point_filter,121.61,101.3,1.2,16.7,20.31,Green
gaussian_filter,4.07,3.4,1.2,16.48,0.67,Green
total_filter,5.32,4.49,1.18,15.52,0.83,Green
otsu_thresholding,2.74,2.32,1.18,15.33,0.42,Green
diversity_filter,4.79,4.08,1.17,14.82,0.71,Green
histogram_equalization,4.8,4.12,1.17,14.17,0.68,Green
bilateral_filter,9.26,8.06,1.15,12.86,1.19,Green
gaussian_contrast_stretch,4.86,4.31,1.13,11.32,0.55,Green
histogram_matching_two_images,8.04,7.14,1.13,11.19,0.9,Green
watershed_from_raster_pour_points,6.52,5.82,1.12,10.74,0.7,Green
total_curvature,2.35,2.1,1.12,10.43,0.25,Green
edge_preserving_mean_filter,6.16,5.52,1.11,10.31,0.63,Green
multiscale_elevation_percentile,24.89,22.47,1.11,9.72,2.42,Green
surface_area_ratio,2.2,2.01,1.1,8.84,0.2,Green
stream_link_length,5.84,5.4,1.08,7.53,0.44,Green
stream_link_slope,6.14,5.71,1.08,7.0,0.43,Green
shape_index,2.49,2.32,1.07,6.83,0.17,Green
range_filter,3.32,3.09,1.07,6.79,0.23,Green
mean_curvature,2.31,2.18,1.06,5.41,0.12,Green
strahler_order_basins,12.73,12.06,1.06,5.26,0.67,Green
gaussian_curvature,2.23,2.12,1.05,5.16,0.11,Green
tangential_curvature,2.28,2.17,1.05,5.03,0.12,Green
hillshade,2.88,2.74,1.05,4.86,0.14,Green
basins,7.47,7.11,1.05,4.82,0.36,Green
profile_curvature,2.26,2.16,1.04,4.21,0.09,Green
max,2.8,2.7,1.04,3.57,0.1,Green
conservative_smoothing_filter,2.34,2.26,1.03,3.21,0.07,Green
sigmoidal_contrast_stretch,2.63,2.56,1.03,2.66,0.07,Green
elevation_percentile,4.0,3.9,1.03,2.5,0.1,Green
diff_of_gaussians_filter,58.55,57.7,1.01,1.44,0.84,Green
find_noflow_cells,2.29,2.26,1.01,1.31,0.03,Green
minimum_filter,2.78,2.74,1.01,1.26,0.03,Green
hypsometrically_tinted_hillshade,3.37,3.35,1.01,0.59,0.02,Green
min,2.51,2.5,1.0,0.4,0.01,Green
median_filter,3.99,4.02,0.99,-0.75,-0.03,Green
adaptive_filter,8.68,8.76,0.99,-0.86,-0.07,Green
maximum_filter,2.92,3.04,0.96,-4.28,-0.12,Green
fd8_pointer,2.8,2.93,0.96,-4.64,-0.13,Yellow
high_pass_median_filter,4.54,4.76,0.95,-4.73,-0.21,Green
rho8_pointer,2.74,2.94,0.93,-7.3,-0.2,Yellow
rho8_pointer,2.74,2.94,0.93,-7.3,-0.2,Yellow
lee_filter,7.18,7.94,0.9,-10.51,-0.76,Red
multidirectional_hillshade,2.86,3.17,0.9,-10.84,-0.31,Red
